Ano/Mês,Nascidos_Vivos,NascVivos_Pesados,NascVivos_<2500g,Óbitos<28d_Diarr,Óbitos<28d_IRA,Óbitos<28d_OutCau,Óbit_28a11m_Diarr,Óbit_28a11m_IRA,Óbit_28a11m_OutCau,Óbitos<1a_Diarr,Óbitos<1a_IRA,Óbitos<1a_OutCau,Óbitos_Fem.10a14a,Óbitos_Fem.15a49a,Óbitos_Adol_violên,Outros_óbitos,Hosp.<5a_Pneumonia,Hosp.<5a_Desitrat,Hosp.Abuso_Álcool,Hosp.Complic.Diab.,Hosp.p/Out.Causas,Hosp.Psiquiátricas,Nº_Visitas,Famílias_Acompanh.,Nº_Gestantes,Nº_Gest._Acompanh,Nº_Gest._<20_anos,Gest.c/PN_no_mês,Gest.c/PN_1ºTrim,Gest.c/Vacina_Dia,Crianças_até_4m,Cr<4m_AleitMatExcl,Cr<4m_Aleit_Misto,Crianças_<1_ano,Cr<1a_c/Vacin.dia,Cr<1a_pesadas,Cr<1a_desnutridas,Cr_12-23meses,Cr_12-23m_Vac.Dia,Cr_12-23m_Pesadas,Cr_12-23m_Desnutr.,Cr<2a_c/diarr,Cr<2a_usaram_TRO,Cr<2a_c/IRA,Diabetes_Cadastr.,Diabetes_Acompan.,Hiperten.Cadastr.,Hiperten.Acompan.,Tubercul.Cadastr.,Tubercul_Acompan.,Hansenia.Cadastr.,Hansenia.Acompan.
2006,1346580,1318561,131636,2352,1450,14194,1099,1518,12385,4082,3235,734433,237057,622428,5896,351817,532786,69932,41797,99780,2614233,62075,330120335,315689088,7903338,7675581,1932204,6906101,5743614,7206470,5861635,4221704,1546991,17809121,16940900,15543174,347643,18926744,17995016,15909194,751271,1991013,1477686,2325147,22223049,18684176,92679358,84398387,485559,465217,624761,607553
..Janeiro/2006,107281,104915,10774,544,156,1227,119,115,1069,663,267,2474,255,1829,488,28984,5856,6781,3863,8367,199115,4979,26268249,24642519,644719,624515,157070,554028,459941,581765,459524,326472,124345,1446896,1365291,1251971,31224,1523690,1440320,1265920,67243,183207,138487,149970,1687433,1416953,7061777,6423053,21579,19603,33715,32284
..Fevereiro/2006,101124,98907,9918,127,80,1148,101,90,930,224,170,2090,218,1624,424,25050,4843,5348,3233,7534,194092,4954,26482996,25230184,669747,649293,163368,578050,478670,606268,459703,329097,122285,1466973,1388056,1273277,31407,1544651,1461550,1286233,66839,170939,127305,139467,1566124,1448774,7333045,6714055,21772,19680,34103,32721
..Março/2006,117420,114942,11187,175,75,1231,87,102,1017,262,177,2241,254,1808,408,27895,6893,5618,3482,8201,222204,5357,27691369,25872549,675591,657268,166478,589479,483583,613521,467489,336954,122014,1475994,1397898,1288101,31359,1551530,1466762,1296390,66708,181228,135729,167188,1901814,1477789,7409442,6728293,21928,19833,34841,33290
..Abril/2006,119429,116910,14585,175,101,1301,84,141,1094,259,242,2430,253,1776,790,28592,9825,5434,3526,8093,223971,5334,27135547,26329159,670559,650816,165267,581289,481408,608908,483771,351119,124048,1488450,1411000,1295560,31397,1562474,1480617,1307091,66329,182220,135885,202910,1622408,1511349,7581436,6867060,22213,20801,35116,33209
..Maio/2006,124206,121682,11427,186,278,1321,101,172,1071,287,594,2554,364,1966,473,31124,436234,5287,3342,8200,238127,5173,28020026,26160653,656040,639337,163148,574940,473414,598056,498902,361246,128944,1484421,1406720,1301052,31499,1562846,1479225,1314141,66456,178342,132316,266731,1949769,1742690,7856617,7298801,243491,242150,256210,254754
..Junho/2006,117342,114894,10992,200,99,1178,79,167,1140,279,269,2356,253,1824,397,31860,14083,4679,3077,8135,221182,5116,27667627,26432312,643039,626807,158684,561509,466515,589442,511962,370372,132906,1493881,1430599,1306458,29549,1581322,1512335,1331432,63104,153552,112377,257436,1654507,1541232,7604397,6998569,21609,20234,33616,32429
..Julho/2006,114395,111921,10790,195,127,1175,83,144,1088,276,275,708704,234330,603144,467,32046,13042,5580,3314,8537,223459,5328,27634142,26614364,643343,624565,158292,561485,466658,586626,512337,367404,135798,1489347,1415524,1300804,29010,1586218,1505112,1331229,62325,152965,112785,235647,1778017,1546034,7734885,7030314,21854,20202,33474,32020
..Agosto/2006,116946,114490,11108,147,101,1314,149,156,1119,296,256,2600,237,1807,417,32008,11173,8381,3583,9243,234448,5481,28531507,26760790,655521,637344,161150,577267,478903,599209,512376,367559,137082,1503222,1438252,1315759,28132,1605931,1524897,1352399,60703,169677,127148,210776,2904327,1582359,7794005,7202903,21891,20570,33409,32015
..Setembro/2006,115354,113012,10731,143,94,1110,86,140,1093,331,251,2326,246,1785,541,30784,9064,7445,3634,8822,227702,5330,28007706,26788767,658749,639268,159495,579625,482578,602103,503229,361902,134262,1495612,1432635,1307108,26914,1602771,1535347,1354152,58926,165434,122769,191459,1721190,1593373,8090178,7254874,22378,20690,33045,31626
