Ano/Mês,Nascidos_Vivos,NascVivos_Pesados,NascVivos_<2500g,Óbitos<28d_Diarr,Óbitos<28d_IRA,Óbitos<28d_OutCau,Óbit_28a11m_Diarr,Óbit_28a11m_IRA,Óbit_28a11m_OutCau,Óbitos<1a_Diarr,Óbitos<1a_IRA,Óbitos<1a_OutCau,Óbitos_Fem.10a14a,Óbitos_Fem.15a49a,Óbitos_Adol_violên,Outros_óbitos,Hosp.<5a_Pneumonia,Hosp.<5a_Desitrat,Hosp.Abuso_Álcool,Hosp.Complic.Diab.,Hosp.p/Out.Causas,Hosp.Psiquiátricas,Nº_Visitas,Famílias_Acompanh.,Nº_Gestantes,Nº_Gest._Acompanh,Nº_Gest._<20_anos,Gest.c/PN_no_mês,Gest.c/PN_1ºTrim,Gest.c/Vacina_Dia,Crianças_até_4m,Cr<4m_AleitMatExcl,Cr<4m_Aleit_Misto,Crianças_<1_ano,Cr<1a_c/Vacin.dia,Cr<1a_pesadas,Cr<1a_desnutridas,Cr_12-23meses,Cr_12-23m_Vac.Dia,Cr_12-23m_Pesadas,Cr_12-23m_Desnutr.,Cr<2a_c/diarr,Cr<2a_usaram_TRO,Cr<2a_c/IRA,Diabetes_Cadastr.,Diabetes_Acompan.,Hiperten.Cadastr.,Hiperten.Acompan.,Tubercul.Cadastr.,Tubercul_Acompan.,Hansenia.Cadastr.,Hansenia.Acompan.
..Junho/2009,101147,99231,11246,169,84,1052,258,110,990,984,280,2704,264,1693,393,32566,8389,1925,3241,8509,219372,4975,28422487,29832799,619430,598860,141925,554065,478246,574226,456292,335817,116174,1393487,1339252,1234379,16206,1452537,1392517,1253152,29297,102189,70512,187592,2482059,1874176,9168739,8150409,21847,19130,27674,26482
..Julho/2009,100874,99061,10227,129,112,875,50,101,1017,583,214,2319,486,1955,420,33521,8480,1927,3069,8476,227047,5017,28791276,29424505,622583,602023,140854,558464,483384,579540,442564,326036,112250,1377534,1322274,1218289,15802,1440768,1379989,1240978,28776,96894,66376,184117,2083061,1875726,9268490,8148408,21031,18670,27112,26027
..Agosto/2009,103710,101902,9635,152,93,940,42,88,950,410,194,2157,248,1816,397,32452,7097,1989,2979,8730,225901,4762,28666985,29691443,652355,614037,142249,571415,497082,588840,442366,324742,111262,1390154,1330922,1229957,15686,1460528,1396291,1256291,28161,97025,66885,168444,2091738,1902493,9177695,8227652,23391,19150,27937,26684
..Setembro/2009,100884,99090,9182,152,90,924,32,71,821,184,161,1746,234,1518,365,30308,5963,2199,2600,8047,213096,4865,28342419,28651777,621304,602200,138980,561670,492365,578441,429663,314993,106023,1357909,1295980,1208138,14529,1432872,1365323,1234580,26866,94721,65903,149698,2050526,1859038,8907385,8022088,20129,18511,27455,26230
..Outubro/2009,101078,99226,9313,164,125,949,47,79,890,211,204,1839,264,1543,405,31175,5188,2643,2823,8667,220354,4825,28466282,29297888,632591,614702,140618,574132,505216,590617,433686,318083,106933,1374094,1310958,1224226,14810,1453868,1385540,1254652,27144,104225,72587,143059,2133330,1905846,9085208,8205488,20370,18538,27282,26150
..Novembro/2009,92781,91090,8696,115,76,849,61,75,830,176,151,1678,251,1485,355,28248,4688,2777,2908,7738,209404,4566,28154099,29160130,638532,618678,142394,578405,510253,595655,428327,314489,105480,1374069,1311778,1220642,14769,1457527,1389763,1256919,27046,106903,74776,134758,2125334,1918074,9269973,8350479,20937,18718,26535,25319
..Dezembro/2009,89156,87493,8347,111,48,873,56,79,821,167,127,1693,220,1509,337,29090,3796,3113,2939,7447,185230,4055,25484216,28714834,613316,590403,135466,545984,486250,568186,405266,295366,101223,1318903,1251729,1158691,13576,1413409,1341364,1205944,25554,109774,77160,122405,2070830,1826883,9062917,7785507,19913,17743,25951,24804
2010,1407171,1164453,109548,1953,912,10614,608,1013,10208,3576,2029,22083,3058,19199,5540,374974,63063,33197,32397,100676,3175234,55264,341179496,361690525,7531912,7291683,1685129,6815213,6018931,7033973,5306210,3756577,1243974,16220775,15282383,14169608,151112,17222453,16316236,14694866,280992,1227156,861362,1713849,27187968,23986653,115503416,100879347,241738,218486,312408,299301
..Janeiro/2010,98085,96394,9067,193,82,914,59,90,909,252,172,1823,266,1567,381,31829,3686,4117,2649,7926,206339,4410,27122289,28489538,629919,606723,138962,561891,496236,582700,409852,300677,101368,1338767,1270679,1179583,13793,1442208,1366931,1231891,26490,132254,95192,120401,2232612,1883902,9788989,8196985,19283,17306,26279,25066
..Fevereiro/2010,100296,98555,9371,174,63,902,114,68,889,666,131,2289,218,1547,417,29195,4693,3666,3359,8188,220696,4747,28968032,30284991,646032,626424,143444,582529,507662,601749,415628,309519,102269,1344159,1292360,1192680,14575,1454470,1391174,1254622,27194,127527,91612,129418,2411255,1961721,9624748,8435057,20931,18575,26993,25755
..Março/2010,106623,104810,9582,147,51,985,50,86,845,197,137,1829,245,1540,648,30006,6007,2483,2668,8289,227137,4796,29281254,29553893,649125,630816,145822,589696,516088,608648,427346,317728,101972,1349574,1289713,1200513,13876,1457374,1388366,1256370,26303,109751,76527,147765,2179627,1978126,9533453,8373252,20178,18194,26550,25460
..Abril/2010,106568,104790,9811,150,92,893,55,75,856,205,166,1749,198,1555,367,30802,7566,1974,2505,8338,230044,4736,29326896,29986971,641420,622176,145113,582145,510518,602016,438466,325884,104829,1353160,1293247,1204151,13606,1454554,1388821,1255923,25834,103696,72511,159418,2204693,2002193,9688723,8451645,19496,18019,26948,25879
..Maio/2010,105520,103694,9699,145,88,920,51,96,941,196,184,1860,243,1643,460,31880,7513,4852,2438,8345,547265,4651,29140270,30356457,625808,607520,142340,568175,500005,588234,444978,329353,107872,1354626,1296971,1205654,13257,1452635,1389218,1254662,24970,97247,67075,169786,2222764,2016091,9513021,8482166,20338,18523,25960,25044
..Junho/2010,99596,97788,9253,116,72,936,47,101,839,163,172,1773,247,1529,341,32086,6850,1805,2413,8158,212351,4610,27609184,30021708,602276,581993,136572,542963,480532,562555,435235,320257,107216,1320110,1261734,1170153,12418,1413648,1349899,1215389,23406,90466,62562,163601,2193727,1965407,9394169,8357058,19431,17963,25478,24583
..Julho/2010,101698,99951,9288,295,71,883,46,64,845,341,135,1727,212,1643,817,33355,5651,2127,2805,8764,222346,4797,28986711,29909205,611021,591509,138270,553184,489575,570454,437971,321284,108764,1341184,1281367,1190512,12382,1427328,1360166,1226217,22553,91273,62901,159509,2259416,2016201,9627087,8428367,20068,18023,25938,24905
..Agosto/2010,320488,96586,9203,110,60,863,31,89,852,141,149,1714,417,1737,366,33307,4995,3089,2716,8902,223377,4656,28677327,30382290,610502,591632,137416,554944,491351,570274,650019,314088,105985,1549403,1267838,1177201,11857,1409862,1346155,1212413,21891,96452,67812,156544,2225714,2014225,9568042,8405185,20298,18228,26109,25157
..Setembro/2010,100239,98463,9239,138,82,931,35,102,822,810,290,2523,200,2017,572,32540,5068,2788,3150,8849,224395,4876,28813139,30579500,630253,610093,140928,572287,505131,588632,431634,320657,108425,1348850,1304388,1190583,12120,1557420,1384861,1233420,21721,95428,66551,140015,2311449,2082418,9859395,8628634,22035,19374,26259,25348
..Outubro/2010,96131,94466,8972,175,99,828,44,83,808,219,182,1636,332,1552,368,31424,4235,2279,2685,8618,217293,4798,28165511,32029618,631962,612210,140483,574546,510596,590073,422156,311194,103220,1338295,1271546,1185269,11665,1417525,1349901,1217974,21099,93385,64443,130111,2307828,2063539,9906340,8525223,20037,18448,25429,24455
..Novembro/2010,86807,85309,8005,97,56,757,38,85,804,135,141,1560,244,1424,365,29087,3656,2094,2552,8821,457856,4231,27798271,29164115,627771,608908,138096,572440,508895,588207,402170,297131,97676,1299469,1237806,1151183,10731,1375111,1311279,1182328,19775,92429,65020,119657,2247008,2018149,9339906,8337518,19090,17538,25587,24243
..Dezembro/2010,85120,83647,8058,213,96,802,38,74,798,251,170,1600,236,1445,438,29463,3143,1923,2457,7478,186135,3956,27290612,30932239,625823,601679,137683,560413,502342,580431,390755,288805,94378,1283178,1214734,1122126,10832,1360318,1289465,1153657,19756,97248,69156,117624,2391875,1984681,9659543,8258257,20553,18295,24878,23406
2011,1190538,1166709,118124,2402,4242,10302,818,895,10295,8765,5981,28352,3283,18955,6808,381167,59044,21719,40621,104453,2572269,54306,344979903,373398622,7494084,7213276,1656495,6750024,5948634,6968635,5050194,3745015,1220771,15714836,14934069,13701238,127566,16507489,15640246,14003666,217074,1041629,707076,1624412,29442738,25315189,119746640,103135688,257910,221523,304659,289094
..Janeiro/2011,101580,99946,9923,156,54,934,53,70,921,451,236,2242,262,1695,360,34242,3435,2515,3409,8827,223194,4739,29179118,31600723,667748,644287,146489,601873,531115,620612,408158,304416,99394,1338185,1275645,1173309,11521,1417272,1346441,1205974,20619,117393,83805,127540,2590860,2141649,10183684,8742779,22159,19223,25793,24575
..Fevereiro/2011,98912,97294,10190,139,81,1023,36,56,849,511,254,2459,379,1755,770,30968,4222,2545,3343,8474,218554,4513,29003114,31614550,666306,642319,145813,600409,528440,619471,410019,308880,98434,1329023,1269052,1168244,11361,1412390,1342540,1203557,20146,111487,77187,134221,2411867,2133643,10097986,8687254,21681,19342,26118,24803
..Março/2011,105934,104040,10449,129,69,944,36,98,1139,901,173,2875,235,1538,870,31530,6977,1894,3533,8979,226519,4840,29262362,30359814,639015,617327,141983,577525,504183,595710,414622,312446,98220,1293348,1236959,1138752,11684,1373673,1307713,1175829,20158,95839,66380,146441,2304585,2066300,9673130,8506437,21786,19041,25785,24910
..Abril/2011,107376,105200,10247,279,64,856,46,83,912,778,152,2281,260,1611,394,31464,8229,1451,3082,8492,223512,4446,29551555,30257107,634495,611761,140777,573205,500295,591508,427272,321843,100101,1299258,1239247,1140035,11497,1371409,1300751,1171194,19396,85650,58569,159705,2343074,2088981,9923977,8579105,21596,18757,25308,24034
..Maio/2011,106664,104597,10096,131,88,849,42,100,899,544,403,2357,235,1514,1113,32460,7886,1916,3086,8557,224874,4743,29138342,31836070,617029,593720,137668,557824,487625,575387,436225,326976,103662,1293498,1235484,1138156,11329,1363209,1293601,1166028,18984,81894,54275,166104,2314772,2080469,9787426,8768906,20084,17650,24782,23763
..Junho/2011,101007,99231,11737,114,74,886,44,83,799,600,260,2290,436,1586,347,33149,6122,1205,3215,9254,213288,4487,27841116,30757362,599900,575548,132975,539868,473642,557849,438053,327635,107255,1287863,1233286,1128581,11294,1355794,1290489,1154860,18202,76297,49954,154310,2323017,2061194,9807027,8431465,20254,17459,25274,24231
..Julho/2011,100931,98301,9378,104,54,796,37,62,780,667,139,2146,274,1758,352,33943,4620,1474,3297,8881,214242,4508,28717859,30798930,610410,578198,133314,540995,476691,559495,443740,324408,108534,1314648,1245846,1135650,10633,1375445,1300445,1159495,17609,76208,50552,140482,2820595,2096666,9831111,8532278,22078,18585,25421,24221
..Agosto/2011,98135,96017,9344,143,53,762,39,81,922,1276,136,2811,252,1570,398,33109,4194,1617,3283,9126,217937,4645,29826128,31636903,610611,589071,136633,552075,486643,568385,437965,319769,107598,1328645,1260612,1150705,10165,1388493,1314617,1172109,17146,79269,52916,136768,2449123,2143845,10005877,8698940,20373,18079,25374,24083
..Setembro/2011,96024,94099,8896,123,3488,835,40,63,777,614,3629,2233,250,1566,404,31741,3816,1763,3503,9022,214394,4595,29337347,31883845,616072,593646,136109,556240,491437,572657,426009,312084,104565,1325012,1252585,1147307,9926,1382161,1306723,1168420,17063,78417,52364,128315,2433545,2152113,10007496,8693068,22342,18791,26094,24510
..Outubro/2011,94446,92700,10092,109,44,778,327,68,786,979,161,2196,247,1498,347,30881,3690,2103,4197,8922,209061,4433,28101590,30629863,614813,592881,135733,555773,493525,572760,413519,303715,101355,1315574,1242795,1139800,9621,1369571,1294093,1158236,16387,78994,53094,117764,2430443,2140450,9897924,8661823,21388,18520,24915,23676
..Novembro/2011,89841,87713,9123,115,80,851,39,52,720,505,266,2079,226,1402,544,29296,3169,1766,3310,8301,205665,4309,28036500,31370513,615946,595834,136612,557352,495637,575914,403154,297961,97249,1314335,1240833,1138029,9542,1365985,1288403,1154223,16081,82746,55987,112495,2629347,2140009,10756810,8596741,22494,18221,25508,23936
..Dezembro/2011,89688,87571,8649,860,93,788,79,79,791,939,172,2383,227,1462,909,28384,2684,1470,3363,7618,181029,4048,26984872,30652942,601739,578684,132389,536885,479401,558887,391458,284882,94404,1275447,1201725,1102670,8993,1332087,1254430,1113741,15283,77435,51993,100267,2391510,2069870,9774192,8236892,21675,17855,24287,22352
2012,1331971,1302412,225496,118875,779311,121466,111680,979,11968,230528,1185328,138620,2947,18901,929487,392831,166756,941854,39052,101072,2595110,54499,356629265,399715721,7862456,7541624,1798118,7121961,6365314,7301141,5233897,3839677,1229037,16256157,15404418,14308874,218557,17105281,16051477,14433669,282577,1101127,756292,1589306,33858042,28784929,131257495,111868551,1033164,744917,418861,396057
..Janeiro/2012,106062,101642,9820,768,91,856,44,66,1883,812,147,2404,221,1645,359,32669,2550,1520,3435,8523,207811,4518,29720903,34666707,657133,632107,142031,589400,526842,606585,411680,301085,100463,1346910,1282028,1189193,9594,1395354,1335045,1184858,15553,81820,55062,99281,2723622,2299444,10753885,9158847,22590,19009,25469,23794
..Fevereiro/2012,217104,215080,121385,111526,111214,112000,111148,57,806,222673,111271,113157,244,1503,783,31282,114355,1646,3248,8426,220717,4695,29972149,33899809,775687,750942,256368,712185,645320,729181,535994,423649,101459,1476925,1412833,1318047,120719,1528347,1455150,1315823,126669,199829,171226,221928,2978921,2462688,11387197,9377320,133690,130702,136786,135183
..Março/2012,111340,109233,10398,692,86,984,48,90,864,740,176,2471,214,1629,416,31830,5055,1751,3720,9211,235982,4844,31226313,33988552,661698,638945,144976,602346,532494,617748,435790,321073,103501,1372750,1309429,1218507,9469,1418723,1349213,1213414,15740,91479,62290,126846,2700539,2400993,10957571,9565819,23893,20032,25599,23908
..Abril/2012,108326,106217,9644,733,61,909,36,80,882,769,141,2414,198,1681,931,32610,6406,1720,3597,8714,232091,4610,30954675,32374161,665000,642432,146176,611356,536709,622136,446108,329383,105453,1382928,1318307,1227614,9649,1433465,1360161,1227907,15535,85766,56654,142776,2771883,2447853,10879463,9574335,23340,19959,26328,25045
..Maio/2012,108128,105718,9588,808,184,929,88,101,883,896,286,2693,325,1684,377,33633,7363,1560,3408,8775,231733,4849,30746863,32796356,641320,621145,141210,589822,518034,602578,443101,323431,105929,1353313,1281989,1194174,9192,1512157,1329515,1201080,14719,82660,54461,149387,2686266,2377803,10696723,9317107,667480,19650,26337,24812
..Junho/2012,104230,101673,10205,469,363,828,62,108,811,529,469,2325,279,1537,869,34361,6597,1709,3284,8558,226973,4573,30025871,33253948,639422,619178,140024,583956,517146,599973,445367,324071,106558,1355757,1281723,1188821,9057,1425198,1337520,1203549,14642,85869,55193,148860,3147560,2392935,10673927,9343589,23404,19396,26185,24453
..Julho/2012,99369,96515,8904,117,69,853,42,104,811,159,172,1662,226,1596,373,35457,6096,1882,2855,8642,224892,4560,29398581,33263985,629430,610673,137686,570748,515267,590692,433323,313615,104477,1342980,1255525,1166003,8357,1410877,1313402,1183853,13797,85459,55060,138969,2740042,2370546,11313989,9240282,21972,18273,25421,23524
..Agosto/2012,102640,100564,9574,856,106,761,30,67,821,886,173,2336,222,1661,706,36297,5058,1944,3250,8847,230286,4884,30352892,33765999,645962,617040,140501,588739,522463,598674,431558,314686,105643,1338947,1281030,1185817,8861,1410250,1343003,1205922,13696,84879,54587,136142,2790434,2449652,10867105,9492914,23577,19127,25875,23957
..Setembro/2012,100841,98832,9548,574,51,800,39,95,1742,613,405196,2104,208,1550,923129,33377,4027,924178,3235,8375,216458,4515,29621298,33265851,647984,615403,140435,585979,522116,596815,425049,310880,103604,1338038,1281375,1188860,8692,1405322,1342899,1207718,13112,80027,50726,123315,2820286,2458409,10877465,9583823,24700,424274,25754,23781
..Outubro/2012,98637,96299,9181,609,169,990,49,77,748,658,246,2206,238,1547,394,33673,3591,1559,3335,8728,209641,4594,30059940,32997057,650720,617376,140512,587948,524909,598394,424361,306657,101404,1359335,1278040,1189871,8735,1430775,1339361,1207759,13449,78115,49082,112905,2815916,2461855,11098037,9455584,22500,18597,27697,23559
..Novembro/2012,91166,88811,8839,797,666807,778,48,66,930,821,666873,2379,329,1544,758,29474,2934,1281,2794,7271,194178,4106,28781718,33611244,640738,606891,137882,571239,518743,587645,412386,296119,97892,1328964,1247856,1158938,8501,1395906,1305987,1175964,13112,73450,47100,101323,2970021,2414092,11212313,9231062,23640,18170,24272,22756
..Dezembro/2012,84128,81828,8410,926,110,778,46,68,787,972,178,2469,243,1324,392,28168,2724,1104,2891,7002,164348,3751,25768062,31832052,607362,569492,130317,528243,485271,550720,389180,275028,92654,1259310,1174283,1083029,7731,1338907,1240221,1105822,12553,71774,44851,87574,2712552,2248659,10539820,8527869,22378,17728,23138,21285
2013,1153406,1126682,113472,6223,1528,10398,836,1111,10365,7059,2638,26485,3199,19129,6306,405464,54546,17305,42121,98266,2475382,51744,343023069,400269332,8203692,7207669,1653231,6809410,6143146,6985191,4866781,3531212,1174473,15451418,14475451,13382270,101064,16189904,15147367,13590625,148351,899187,575340,1359404,36037598,29332001,132098175,109919492,1226460,225695,282573,262408
..Janeiro/2013,98475,95652,9535,839,84,948,180,312,868,1019,395,2880,281,1653,663,32558,3248,1753,3540,8174,195952,4361,28918337,33711692,634935,596920,136157,555443,502393,574528,397127,283799,96127,1300948,1206960,1138823,8507,1386408,1277426,1163275,13074,86428,55901,91533,2793776,2373561,10853873,8986552,22698,18339,25511,23005
..Fevereiro/2013,95269,92726,9018,582,217,999,45,56,785,627,273,2250,301,1633,561,30468,3814,1748,3021,8039,206923,4513,29169565,33708914,649704,613725,141094,575554,515342,591276,402383,289016,97212,1301513,1216270,1127308,8556,1391942,1287722,1154866,13013,88536,57093,99863,2822558,2426582,11020448,9197375,23697,18763,23432,22092
..Março/2013,87938,85375,8581,397,63,739,33,58,731,430,121,1765,279,1334,322,25202,3885,1480,2827,7061,181590,3811,24453094,34063291,641534,580376,138734,542239,487107,560398,396779,281081,92812,1260983,1158698,1053487,8212,1344811,1221928,1080452,12599,78988,51197,103258,2778440,2120434,10975893,8012442,22241,16835,23183,21094
..Abril/2013,100881,98047,9379,466,83,895,49,85,815,515,168,2074,276,1563,387,53588,6307,1637,2876,8112,216255,4330,30035213,34084235,656450,619002,144040,583283,520702,599483,414066,301164,97282,1304066,1224032,1129754,9258,1388545,1288236,1154643,13163,81149,51898,136979,4171681,2457369,11748371,9279069,23065,18519,23810,22349
..Maio/2013,105116,102823,10828,708,86,902,265,80,1153,973,166,2881,289,1653,510,34128,6488,1738,2990,8170,222964,4421,29641740,32713299,644788,609931,142326,576362,515483,592339,422162,308467,99659,1303994,1226531,1136818,8646,1385869,1285483,1156248,13348,84679,55332,143561,2879264,2499225,11044272,9386434,23693,19505,23849,22219
..Junho/2013,99046,96710,9085,227,102,908,34,90,917,261,192,1819,279,1657,828,34785,6412,1573,6571,8697,224410,4356,29064223,32377206,1188946,601869,139555,568361,510873,584415,425482,311359,101870,1438132,1231476,1139195,8360,1376012,1286068,1156702,12655,81732,53484,140336,3055886,2489514,10977422,9379035,22258,18849,23159,21686
..Julho/2013,100850,98671,9789,712,77,890,40,74,1178,752,151,2664,278,1771,611,35866,5533,1232,3571,8880,217069,4375,30092720,33186837,620424,589104,136123,557479,502788,571955,420583,305658,102700,1273792,1209637,1114864,9241,1339882,1258957,1126902,12735,70086,44152,126461,2898769,2475449,11004857,9341376,22965,19155,23039,21735
..Agosto/2013,102762,100561,10729,363,58,827,45,89,840,408,147,1903,238,1715,471,36723,4293,1057,3138,8695,219906,4565,29870246,33726967,635850,606289,139099,574961,517894,587776,424434,307903,104774,1297872,1237613,1144016,8847,1363660,1284207,1155210,12517,66716,42712,123561,2941669,2563100,11010270,9533839,24542,20529,23581,22102
..Setembro/2013,100676,98669,9459,332,61,823,40,74,860,372,135,1935,237,1473,429,33912,3939,1238,3683,9022,217167,4813,30052273,34340532,646686,616255,139464,585875,530280,598105,419551,305549,102370,1303308,1244500,1151334,8350,1371618,1294447,1164156,11518,66747,41857,112929,2967939,2575580,11367893,9626537,675321,20228,24063,22304
..Outubro/2013,98911,97150,9857,468,427,929,32,74,831,500,501,2434,281,1748,398,33229,4132,1384,3384,8900,214813,4509,29582809,33753065,666627,607066,136059,578987,526277,590183,402768,294331,99094,1264186,1213405,1124358,8660,1324608,1260269,1135392,12103,65133,40830,103876,3104778,2558038,10991813,9455131,22633,18937,24722,22636
..Novembro/2013,88582,86912,8990,499,194,904,48,61,751,547,255,2113,254,1727,673,29509,3686,1378,3613,8072,198835,4224,27671516,32549195,621077,597483,133647,570293,519034,580674,381989,279240,93773,1225882,1176156,1088847,7016,1283634,1221155,1098372,10882,66977,41850,94791,2856061,2466332,10775769,9164516,322825,18459,23126,21229
..Dezembro/2013,74900,73386,8222,630,76,634,25,58,636,655,134,1767,206,1202,453,25496,2809,1087,2907,6444,159498,3466,24471333,32054099,596671,569649,126933,540573,494973,554059,359457,263645,86800,1176742,1130173,1033466,7411,1232915,1181469,1044407,10744,62016,39034,82256,2766777,2326817,10327294,8557186,20522,17577,21098,19957
..Janeiro/2004,103695,100957,9787,161,110,1280,132,156,1128,293,266,2408,244,1849,400,25720,6498,5856,3073,6604,168092,4432,22305318,22846502,586194,551921,145350,469364,384706,502529,433766,297571,126157,1340088,1215271,1134157,46934,1457142,1335844,1185024,104202,175399,132975,157027,1181958,1067781,5169359,4672894,18763,17251,32707,31022
..Fevereiro/2004,97696,95028,9476,154,97,1192,189,129,1170,343,226,2362,211,1605,368,25149,6881,8715,2809,6620,186259,4496,22897929,23696631,606777,571942,150856,488198,399275,520760,440739,303694,126842,1361454,1236520,1156562,48243,1477394,1353564,1206132,105868,239515,188923,176756,1326591,1104407,5452883,4953749,18962,17380,32344,31014
..Março/2004,111164,108298,10716,213,136,1309,214,211,1428,419,347,2737,242,1858,367,27994,11278,7491,2974,7620,216004,4877,24556003,23637322,616459,583073,154492,509082,406791,533082,455507,315437,129698,1376528,1252788,1179026,50416,1486347,1361492,1225015,107832,214477,166692,226992,1212547,1128324,5507906,4993395,19833,17837,32325,30996
..Abril/2004,111132,108374,10597,246,127,1244,110,184,1140,356,311,2384,281,1849,360,27170,12082,4488,2860,7066,198841,4733,24611169,23761079,612351,577731,153940,502302,403815,529719,467931,324459,133271,1383913,1263069,1182969,47426,1492335,1369798,1226174,103545,160977,120056,215380,1555047,1147334,5501830,5071766,19504,17838,32142,30834
..Maio/2004,112959,109806,10394,314,111,1200,99,157,1129,413,268,2329,229,1706,358,26437,125076,3768,3063,6997,198629,4948,24855323,23628818,609329,700460,164126,500466,400769,526595,483996,334592,138213,1389361,1279331,1195643,46050,1496648,1378808,1235454,100975,147780,108257,229864,1270622,1160126,5573119,5145326,19609,18279,33598,31781
..Junho/2004,109311,106274,10283,180,114,1213,94,215,1068,274,329,2281,264,1762,341,28476,13961,3650,3148,7103,194859,4597,24467187,23727394,596621,564056,150185,491580,396220,519974,491053,338116,141777,1399749,1297592,1197290,43234,1510149,1403886,1242069,95286,141454,102383,232944,1268658,1177877,6566664,5230757,19696,17942,32916,31767
..Julho/2004,105410,102476,9836,155,107,1199,89,165,1029,244,272,2228,255,1664,366,28066,12465,4501,2842,7154,194405,4718,24382059,23891320,589685,557635,147722,487123,393798,513737,484459,333554,140639,1579189,1274135,1182292,40858,1499217,1385124,1229855,89701,141070,104163,225854,1274003,1180454,5826172,5267174,19554,17808,32633,31382
..Agosto/2004,108610,105758,10270,205,103,1226,108,154,1041,311,253,2253,239,1745,439,29601,10458,7151,3149,7936,239575,5090,25779867,24141672,605489,572955,150342,505086,408613,528908,488088,337072,140912,1412601,1314733,1212816,39417,1529747,1428264,1262547,87360,152094,114007,208686,1467792,1221998,5942040,5451358,21273,18411,33175,31945
..Setembro/2004,107165,104460,10204,188,97,1131,112,134,996,300,231,2119,275,1580,569,27624,9791,9206,2991,7448,201907,4862,24692453,24499308,602615,571243,149188,506113,412008,529496,482682,337082,135557,1411725,1311563,1208911,38394,1549681,1426839,1256782,84687,166358,125858,199377,1373090,1230041,6970468,5481349,20620,18932,34558,33282
..Outubro/2004,101653,98980,9498,182,79,1011,85,132,1023,267,209,2030,245,1593,375,26589,8898,6959,3073,7165,187462,4672,24244647,24538489,608831,575962,150463,504890,417103,532289,473940,333244,131165,1417250,1303140,1210921,38790,1527580,1420422,1254571,84713,160168,118688,188027,1743544,1234319,5994592,5505808,21141,420258,45498,31985
..Novembro/2004,99920,97380,9233,144,111,1070,92,114,1064,236,223,2128,224,1472,492,25866,8500,6315,9683,7111,183131,4628,24571375,24854667,615592,579852,151274,509494,420492,537256,462475,326817,126364,1407228,1292907,1202927,37642,1513719,1404202,1242640,82442,152553,113179,171525,1641852,1237474,7057159,5501416,20592,18851,33197,31922
..Dezembro/2004,82166,79989,7965,121,76,887,73,99,839,192,173,1712,185,1411,383,21535,5863,3992,2550,5948,151216,3951,23489267,24324406,611414,572854,150200,495897,415296,531891,444467,314641,120961,1383500,1270463,1173463,36146,1491569,1384499,1221395,78539,143586,105555,156524,1339590,1224292,6047373,5416665,20640,18864,32206,30997
2014,1079062,1055708,118909,7760,1249,9117,548,998,9311,8249,2233,25465,3138,17496,5781,356432,142129,15196,37425,89192,2226678,45538,318000654,372098300,7142958,6794267,1522340,6473646,5875218,6600202,4429077,3231238,1058320,13826949,13148764,12112157,87281,14432807,13599693,12153294,114355,735311,451984,1096790,34498534,28858855,125872065,104539511,541640,203275,252783,239175
..Janeiro/2014,94257,92591,11858,454,88,913,49,78,808,503,166,2113,525,1456,603,31893,2588,1825,3148,8072,189127,4024,26728986,31764109,612908,583611,130150,552511,502792,565516,360310,262813,87665,1184573,1129494,1038356,7375,1245828,1177771,1051183,10542,76895,49220,79527,3183097,2386892,10696095,8785273,20167,17066,21355,20299
..Fevereiro/2014,92950,90740,9292,601,144,821,44,53,808,645,197,2203,259,1650,595,30283,2381,1638,3135,7935,195972,4113,28198705,33237061,647278,615092,139149,584953,529589,596003,380369,276513,90367,1243078,1171747,1081533,7400,1315098,1219550,1093021,10635,77686,49517,85192,2981929,2519065,11082731,9265396,22053,18203,23128,21710
..Março/2014,98898,96938,11577,893,138,854,78,73,1030,971,211,2768,273,2549,614,30344,3103,1524,3514,8251,203645,4192,28244913,31625608,641844,616108,136888,585931,531257,598021,386433,285223,92069,1228470,1179776,1089052,8047,1281945,1220996,1095300,11076,73392,45558,92963,2969257,2533918,11079447,9374456,321542,18597,22701,21657
..Abril/2014,100887,98937,9804,463,116,852,34,79,775,497,197,1982,274,1505,465,30679,5542,1384,4520,7945,207814,5238,28508597,33088098,641683,610251,136001,581365,526208,593299,395105,292798,93176,1233711,1185507,1092763,7721,1288760,1227444,1100524,10319,68215,41853,110730,3036513,2571891,11094458,9388787,20110,17749,22531,21483
..Maio/2014,101351,99512,10916,843,93,1006,33,78,1111,876,171,2878,243,1465,552,31242,5548,1149,3132,8091,208840,3945,29339328,33555633,617821,594064,132805,566774,511288,577485,398331,293862,95160,1211144,1163286,1073313,7595,1265440,1207196,1080896,9954,65819,40071,122301,2926240,2534726,10875985,9235418,19823,18256,22460,21106
..Junho/2014,92400,90187,9446,627,82,872,60,144,768,636,216,2142,239,1408,576,31041,5150,854,2826,7298,191242,3667,26659462,31956534,601550,571165,129600,542303,490702,554180,400112,291057,94665,1205354,1135741,1042660,7618,1261982,1174143,1045907,10185,58787,35788,113379,2907309,2468168,10720442,8929805,20854,17660,21961,20905
